max_depth,learning_rate,subsample,colsample_bytree,best_iteration,val_auc,val_log_loss,val_accuracy,val_brier
4,0.1,0.85,1.0,62,0.8102661925054215,0.523881633269435,0.7196891301134084,0.17732647061347961
4,0.1,1.0,0.7,83,0.8098488934403929,0.5242901182455176,0.7213152837321282,0.17751027643680573
4,0.1,1.0,0.85,78,0.8096590766969046,0.524306158611563,0.7196046546007476,0.17756402492523193
4,0.1,1.0,1.0,66,0.8100711464883492,0.5240252473445891,0.7204705286055205,0.17739732563495636
6,0.01,0.6,0.7,541,0.8106157884454641,0.5234433028084593,0.721632066904606,0.17713400721549988
6,0.01,0.6,0.85,538,0.8105067444426702,0.5234192170386467,0.7208717872906591,0.17715375125408173
6,0.01,0.6,1.0,579,0.8104002963433443,0.5236056280334545,0.7209351439251547,0.17722062766551971
6,0.01,0.7,0.7,553,0.8106626056983203,0.5233237977697383,0.7213786403666237,0.1770978420972824
6,0.01,0.7,0.85,599,0.8104836444700565,0.5234063752636768,0.7208295495343288,0.17716911435127258
6,0.01,0.7,1.0,599,0.8103858003188233,0.523630821374875,0.7209985005596503,0.17723436653614044
6,0.01,0.85,0.7,576,0.8105136231408292,0.5234454321120197,0.721843255686258,0.1771562099456787
6,0.01,0.85,0.85,589,0.8102863156636458,0.5236201322928673,0.7208717872906591,0.17724460363388062
6,0.01,0.85,1.0,546,0.8102653423693373,0.5237205907977529,0.7204282908491901,0.177266463637352
6,0.01,1.0,0.7,563,0.8103067894026479,0.5236611321870107,0.7216954235391017,0.17723770439624786
6,0.01,1.0,0.85,546,0.810182066499732,0.5237535259224181,0.7209773816814851,0.17728517949581146
6,0.01,1.0,1.0,554,0.8100652365706599,0.5239324243315324,0.7203860530928597,0.17735765874385834
6,0.03,0.6,0.7,194,0.8107156156528518,0.5232278109732178,0.7210829760723111,0.17707175016403198
6,0.03,0.6,0.85,191,0.8104398245490398,0.523472986093535,0.720639479630842,0.1771821528673172
6,0.03,0.6,1.0,191,0.8101304624365631,0.5238710571425439,0.720533885240016,0.17732323706150055
6,0.03,0.7,0.7,180,0.810722535385911,0.5232537683634582,0.7206605985090072,0.177055224776268
6,0.03,0.7,0.85,212,0.8103697351554018,0.5235653181886932,0.7211040949504762,0.17723220586776733
6,0.03,0.7,1.0,196,0.8101882779347314,0.5238384399662727,0.7206183607526768,0.17731641232967377
6,0.03,0.85,0.7,196,0.8104325221209334,0.5235104264467341,0.7206183607526768,0.17718914151191711
6,0.03,0.85,0.85,196,0.8100854284177388,0.5238631522512717,0.7204071719710249,0.17733637988567352
6,0.03,0.85,1.0,196,0.8102158774733563,0.5238273449963582,0.7203226964583641,0.17729900777339935
6,0.03,1.0,0.7,202,0.8103157858584813,0.5235546643924099,0.7211252138286415,0.17723828554153442
6,0.03,1.0,0.85,186,0.8102838883600937,0.5236447397411232,0.7211252138286415,0.17724798619747162
6,0.03,1.0,1.0,179,0.8100451339298858,0.5240268621674784,0.7206605985090072,0.1773778349161148
6,0.05,0.6,0.7,122,0.810901013116003,0.5231761642978792,0.7209985005596503,0.17703519761562347
6,0.05,0.6,0.85,124,0.8105971336230158,0.5233304972434988,0.7216109480264409,0.17713108658790588
6,0.05,0.6,1.0,124,0.8106730606772364,0.5233118460673215,0.7207661928998331,0.17711202800273895
