match_id,rank
NA1_5635493913,DIAMOND
NA1_5637610128,SILVER
NA1_5638619292,BRONZE
NA1_5638114411,BRONZE
NA1_5638772764,IRON
NA1_5636904886,EMERALD
NA1_5629291114,DIAMOND
NA1_5630487968,GOLD
NA1_5638754058,PLATINUM
NA1_5638920843,CHALLENGER
NA1_5638478957,GOLD
NA1_5638497132,GOLD
NA1_5638611218,PLATINUM
NA1_5632539308,GOLD
NA1_5638568327,DIAMOND
NA1_5631552024,MASTER
NA1_5634190853,PLATINUM
NA1_5639070802,MASTER
NA1_5637813228,PLATINUM
NA1_5629385951,DIAMOND
NA1_5636355686,IRON
NA1_5637943964,PLATINUM
NA1_5634640575,IRON
NA1_5632784280,SILVER
NA1_5637305932,CHALLENGER
NA1_5635334447,MASTER
NA1_5636836906,PLATINUM
NA1_5638647263,MASTER
NA1_5634164919,PLATINUM
NA1_5636061527,GOLD
NA1_5633312919,GOLD
NA1_5637382495,SILVER
NA1_5635531572,PLATINUM
NA1_5635852146,PLATINUM
NA1_5632289338,IRON
NA1_5635846207,EMERALD
NA1_5639229563,PLATINUM
NA1_5636752790,GRANDMASTER
NA1_5637349446,DIAMOND
NA1_5638641424,EMERALD
NA1_5639107191,GOLD
NA1_5637474573,MASTER
NA1_5634080646,PLATINUM
NA1_5636260405,PLATINUM
NA1_5637425571,PLATINUM
NA1_5636428569,DIAMOND
NA1_5638831536,GOLD
NA1_5631766857,GOLD
NA1_5638385848,EMERALD
NA1_5638033276,SILVER
NA1_5632891385,IRON
NA1_5637219632,EMERALD
NA1_5630686397,DIAMOND
NA1_5638758143,GRANDMASTER
NA1_5639066163,CHALLENGER
NA1_5638451736,GOLD
NA1_5638949857,GRANDMASTER
NA1_5637596569,GRANDMASTER
NA1_5633722729,CHALLENGER
NA1_5634526354,DIAMOND
NA1_5637545647,MASTER
NA1_5639172331,BRONZE
NA1_5635782205,GRANDMASTER
NA1_5636754229,PLATINUM
NA1_5637767440,CHALLENGER
NA1_5638432041,BRONZE
NA1_5638270002,EMERALD
NA1_5639109596,GRANDMASTER
NA1_5638230613,PLATINUM
NA1_5634976817,SILVER
NA1_5632722990,PLATINUM
NA1_5634130043,PLATINUM
NA1_5636361999,EMERALD
NA1_5635653907,IRON
NA1_5637876144,BRONZE
NA1_5638344104,CHALLENGER
NA1_5637325618,EMERALD
NA1_5630793836,SILVER
NA1_5628917454,IRON
NA1_5636117573,SILVER
NA1_5636773701,EMERALD
NA1_5636065139,MASTER
NA1_5638573940,MASTER
NA1_5634520887,PLATINUM
NA1_5638288778,MASTER
NA1_5630936741,SILVER
NA1_5636819494,PLATINUM
NA1_5638595611,BRONZE
NA1_5632973559,IRON
NA1_5629125999,BRONZE
NA1_5632645148,EMERALD
NA1_5630780153,IRON
NA1_5630226270,DIAMOND
NA1_5638325601,CHALLENGER
NA1_5634582010,PLATINUM
NA1_5635315108,BRONZE
NA1_5638071875,GRANDMASTER
NA1_5637730700,GOLD
NA1_5631951932,BRONZE
NA1_5638071687,EMERALD
NA1_5636746293,EMERALD
NA1_5637615334,PLATINUM
NA1_5638313567,GRANDMASTER
NA1_5634837613,PLATINUM
NA1_5635327354,BRONZE
NA1_5631237686,MASTER
NA1_5638579180,IRON
NA1_5635786553,GOLD
NA1_5637688734,IRON
NA1_5630536422,BRONZE
NA1_5638253364,BRONZE
NA1_5639085604,MASTER
NA1_5636889499,SILVER
NA1_5635453310,PLATINUM
NA1_5638772481,GRANDMASTER
NA1_5636998838,EMERALD
NA1_5636911622,DIAMOND
NA1_5636925407,PLATINUM
NA1_5639230715,GRANDMASTER
NA1_5639043871,BRONZE
NA1_5638433784,IRON
NA1_5638702402,IRON
NA1_5629915134,MASTER
NA1_5639046636,IRON
NA1_5636780495,DIAMOND
NA1_5637773343,DIAMOND
NA1_5629930538,EMERALD
NA1_5628834868,EMERALD
NA1_5637753805,CHALLENGER
NA1_5638090905,EMERALD
NA1_5637945065,DIAMOND
NA1_5639224328,MASTER
NA1_5630183632,MASTER
NA1_5629919470,DIAMOND
NA1_5639138921,GOLD
NA1_5639230692,MASTER
NA1_5636485346,SILVER
NA1_5631277802,PLATINUM
NA1_5637391580,SILVER
NA1_5634515475,EMERALD
NA1_5636644228,CHALLENGER
NA1_5637882088,PLATINUM
NA1_5636506129,IRON
NA1_5639168090,MASTER
NA1_5639201549,GOLD
NA1_5638954269,GRANDMASTER
NA1_5639048353,GRANDMASTER
NA1_5637373564,EMERALD
NA1_5638437060,IRON
NA1_5635227798,IRON
NA1_5636903268,GRANDMASTER
NA1_5636259151,GOLD
NA1_5637137589,GRANDMASTER
NA1_5639145680,DIAMOND
NA1_5635300101,GOLD
NA1_5638307064,MASTER
NA1_5635590388,GRANDMASTER
NA1_5638165636,SILVER
NA1_5639180185,EMERALD
NA1_5639129134,SILVER
NA1_5635141331,IRON
NA1_5632203800,DIAMOND
NA1_5639152408,SILVER
NA1_5637525628,DIAMOND
NA1_5635737201,GRANDMASTER
NA1_5636394665,EMERALD
NA1_5638586220,DIAMOND
NA1_5638104157,CHALLENGER
NA1_5637655908,MASTER
NA1_5638950676,GOLD
NA1_5639083971,GOLD
NA1_5638179999,IRON
NA1_5636061605,EMERALD
NA1_5638902140,PLATINUM
NA1_5633423290,CHALLENGER
NA1_5638593832,EMERALD
NA1_5638426041,EMERALD
NA1_5637280551,EMERALD
NA1_5633849396,GRANDMASTER
NA1_5638017995,PLATINUM
NA1_5638927513,SILVER
NA1_5638207348,IRON
NA1_5639186665,DIAMOND
NA1_5638972583,SILVER
NA1_5630797722,SILVER
NA1_5636138201,CHALLENGER
NA1_5638860823,PLATINUM
NA1_5638019992,MASTER
NA1_5629214840,BRONZE
NA1_5637604158,BRONZE
NA1_5635578013,CHALLENGER
NA1_5638611711,GRANDMASTER
NA1_5637219757,BRONZE
NA1_5638370593,EMERALD
NA1_5637025616,MASTER
NA1_5638590674,IRON
NA1_5639078820,GRANDMASTER
NA1_5635226429,GOLD
NA1_5636784063,IRON
NA1_5635408893,SILVER
NA1_5637400675,IRON
NA1_5637422226,MASTER
NA1_5639048711,DIAMOND
NA1_5632358517,GOLD
NA1_5637571490,EMERALD
NA1_5635286849,EMERALD
NA1_5635242890,PLATINUM
NA1_5632136369,IRON
NA1_5637552446,IRON
NA1_5637825657,PLATINUM
NA1_5638676924,IRON
NA1_5638191089,GRANDMASTER
NA1_5635060679,GOLD
NA1_5634304078,GOLD
NA1_5631291780,DIAMOND
NA1_5639193520,EMERALD
NA1_5636852152,IRON
NA1_5637561330,BRONZE
NA1_5638209884,GOLD
NA1_5639129204,EMERALD
NA1_5635403431,IRON
NA1_5635426649,BRONZE
NA1_5631253067,BRONZE
NA1_5635568374,GOLD
NA1_5637860125,GOLD
NA1_5634357016,PLATINUM
NA1_5635060753,GOLD
NA1_5637963134,CHALLENGER
NA1_5635199950,BRONZE
NA1_5638389749,CHALLENGER
NA1_5639257955,DIAMOND
NA1_5635450760,BRONZE
NA1_5638692676,GRANDMASTER
NA1_5635708361,GRANDMASTER
NA1_5634693999,BRONZE
NA1_5639202386,MASTER
NA1_5635813279,PLATINUM
NA1_5637664659,PLATINUM
NA1_5638965838,GOLD
NA1_5637709485,PLATINUM
NA1_5636909984,PLATINUM
NA1_5638886056,BRONZE
NA1_5636981311,DIAMOND
NA1_5635484609,EMERALD
NA1_5634532120,GRANDMASTER
NA1_5637115478,IRON
NA1_5636610568,EMERALD
NA1_5637999156,DIAMOND
NA1_5638547568,MASTER
NA1_5636202364,DIAMOND
NA1_5637323563,MASTER
NA1_5637049557,MASTER
NA1_5633816344,CHALLENGER
NA1_5637932946,MASTER
NA1_5638950160,DIAMOND
NA1_5638583291,GOLD
NA1_5636782226,EMERALD
NA1_5636306345,PLATINUM
NA1_5637000885,GOLD
NA1_5638492140,IRON
NA1_5629960801,SILVER
NA1_5634003062,BRONZE
NA1_5631075761,GOLD
NA1_5638745224,SILVER
NA1_5631731640,BRONZE
NA1_5633152525,IRON
NA1_5638867240,SILVER
NA1_5638107792,GRANDMASTER
NA1_5637570382,PLATINUM
NA1_5636977400,BRONZE
NA1_5639132277,GRANDMASTER
NA1_5638689347,SILVER
NA1_5637989342,BRONZE
NA1_5636025782,EMERALD
NA1_5638668845,MASTER
NA1_5634677897,IRON
NA1_5638381434,PLATINUM
NA1_5635563550,MASTER
NA1_5639096086,PLATINUM
NA1_5631362509,BRONZE
NA1_5631829574,SILVER
NA1_5630067622,BRONZE
NA1_5637719296,BRONZE
NA1_5631449986,GOLD
NA1_5638290448,EMERALD
NA1_5632161810,PLATINUM
NA1_5631095354,PLATINUM
NA1_5632820040,GOLD
NA1_5636339202,CHALLENGER
NA1_5638437024,GRANDMASTER
NA1_5637598086,DIAMOND
NA1_5634788856,EMERALD
NA1_5638264810,GOLD
NA1_5639242671,MASTER
NA1_5639146188,GRANDMASTER
NA1_5634164927,EMERALD
NA1_5639176208,GRANDMASTER
NA1_5638834809,EMERALD
NA1_5633938586,SILVER
NA1_5633021359,EMERALD
NA1_5636876631,MASTER
NA1_5635927772,SILVER
NA1_5636964638,CHALLENGER
NA1_5636581837,IRON
NA1_5635803549,CHALLENGER
NA1_5638687444,MASTER
NA1_5632948199,PLATINUM
NA1_5637015974,PLATINUM
NA1_5632945873,GRANDMASTER
NA1_5636659068,DIAMOND
NA1_5639056280,DIAMOND
NA1_5637619768,BRONZE
NA1_5635778501,IRON
NA1_5638001440,EMERALD
NA1_5638297400,DIAMOND
NA1_5634218555,BRONZE
NA1_5638739856,IRON
NA1_5639036221,GRANDMASTER
NA1_5635070972,IRON
NA1_5630088442,DIAMOND
NA1_5636686865,SILVER
NA1_5639226737,GRANDMASTER
NA1_5638742810,PLATINUM
